iter	Passed	Remaining
588	1758	7199
589	1761	7196
590	1764	7193
591	1767	7189
592	1770	7185
593	1773	7181
594	1775	7177
595	1778	7174
596	1781	7171
597	1784	7167
598	1787	7163
599	1789	7159
600	1792	7155
601	1795	7153
602	1798	7149
603	1801	7146
604	1804	7141
605	1806	7138
606	1809	7134
607	1812	7131
608	1815	7128
609	1818	7125
610	1821	7122
611	1824	7118
612	1827	7115
613	1830	7112
614	1833	7108
615	1835	7105
616	1838	7102
617	1841	7098
618	1844	7095
619	1847	7092
620	1850	7089
621	1853	7086
622	1856	7083
623	1859	7080
624	1862	7076
625	1865	7073
626	1868	7070
627	1871	7067
628	1874	7064
629	1876	7060
630	1879	7056
631	1882	7053
632	1885	7051
633	1888	7048
634	1891	7045
635	1894	7042
636	1897	7039
637	1900	7036
638	1903	7033
639	1906	7030
640	1909	7027
641	1912	7024
642	1915	7022
643	1918	7020
644	1921	7016
645	1925	7014
646	1928	7012
647	1931	7009
648	1934	7006
649	1937	7003
650	1940	7000
651	1943	6997
652	1946	6994
653	1949	6991
654	1952	6988
655	1954	6984
656	1957	6980
657	1960	6976
658	1963	6973
659	1965	6970
660	1968	6966
661	1971	6963
662	1974	6961
663	1977	6958
664	1980	6955
665	1983	6952
666	1986	6949
667	1989	6946
668	1992	6943
669	1995	6940
670	1998	6937
671	2001	6934
672	2004	6931
673	2007	6928
674	2010	6925
675	2013	6921
676	2016	6918
677	2019	6915
678	2022	6912
679	2025	6909
680	2028	6906
681	2031	6903
682	2033	6899
683	2036	6897
684	2039	6894
685	2042	6890
686	2045	6887
687	2048	6884
688	2051	6880
689	2054	6876
690	2056	6873
691	2059	6869
692	2062	6867
693	2066	6865
694	2069	6863
695	2072	6860
696	2075	6857
697	2078	6854
698	2081	6850
699	2083	6847
700	2086	6843
701	2089	6840
702	2092	6837
703	2095	6834
704	2098	6830
705	2101	6827
706	2104	6824
707	2107	6821
708	2109	6817
709	2112	6814
710	2115	6811
711	2118	6807
712	2121	6804
713	2124	6801
714	2127	6798
715	2130	6795
716	2132	6791
717	2136	6789
718	2138	6785
719	2141	6782
720	2144	6779
721	2147	6775
722	2150	6773
723	2153	6770
724	2156	6767
725	2159	6764
726	2162	6760
727	2165	6757
728	2168	6754
729	2171	6751
730	2173	6747
731	2176	6744
732	2179	6741
733	2182	6737
734	2185	6734
735	2188	6731
736	2191	6727
737	2194	6725
738	2197	6722
739	2199	6718
740	2202	6715
741	2205	6712
742	2208	6709
743	2211	6706
744	2214	6702
745	2217	6699
746	2220	6696
747	2223	6693
748	2226	6690
749	2228	6686
750	2231	6683
751	2234	6680
752	2237	6677
753	2240	6674
754	2243	6671
755	2246	6667
756	2249	6664
757	2252	6662
758	2255	6659
759	2258	6656
760	2261	6653
761	2264	6651
762	2267	6647
763	2270	6644
764	2273	6641
765	2276	6638
766	2278	6634
767	2281	6631
768	2284	6628
769	2287	6626
770	2290	6622
771	2293	6620
772	2297	6617
773	2300	6614
774	2303	6612
775	2306	6609
776	2309	6606
777	2312	6603
778	2315	6600
779	2317	6597
780	2320	6593
781	2323	6590
782	2326	6588
783	2329	6584
784	2332	6581
785	2335	6578
786	2338	6574
787	2340	6571
788	2343	6568
789	2346	6565
790	2349	6562
791	2352	6558
792	2355	6555
793	2358	6552
794	2361	6549
795	2364	6545
796	2367	6542
797	2369	6539
798	2372	6535
799	2375	6532
800	2378	6529
801	2381	6526
802	2384	6523
803	2402	6563
804	2405	6559
805	2408	6557
806	2411	6553
807	2414	6550
808	2417	6547
809	2420	6544
810	2423	6541
811	2426	6538
812	2429	6535
813	2432	6532
814	2435	6529
815	2438	6526
816	2441	6523
817	2444	6520
818	2447	6517
819	2450	6514
820	2453	6510
821	2456	6507
822	2458	6503
823	2461	6501
824	2464	6497
825	2467	6494
826	2470	6491
827	2473	6487
828	2476	6484
829	2479	6481
830	2481	6478
831	2484	6474
832	2487	6471
833	2490	6468
834	2493	6465
835	2496	6462
836	2499	6459
837	2502	6455
838	2505	6454
839	2509	6451
840	2511	6448
841	2514	6445
842	2517	6441
843	2520	6438
844	2523	6435
845	2526	6432
846	2529	6429
847	2532	6425
848	2535	6422
849	2537	6419
850	2540	6416
851	2543	6413
852	2546	6410
853	2549	6407
854	2552	6403
855	2555	6400
856	2558	6397
857	2561	6394
858	2564	6391
859	2567	6388
860	2570	6385
861	2572	6381
862	2575	6378
863	2578	6375
864	2581	6372
865	2584	6368
866	2587	6365
867	2590	6361
868	2592	6358
869	2595	6354
870	2598	6352
871	2601	6348
872	2604	6345
873	2607	6342
874	2610	6339
875	2613	6335
876	2615	6332
877	2618	6329
878	2621	6325
879	2624	6322
880	2627	6319
881	2630	6316
882	2633	6312
883	2635	6309
884	2638	6306
885	2641	6303
886	2644	6300
887	2647	6297
888	2650	6293
889	2653	6290
890	2656	6287
891	2659	6284
892	2662	6281
893	2665	6278
894	2668	6275
895	2671	6272
896	2673	6268
897	2676	6265
898	2679	6262
899	2682	6260
900	2685	6256
901	2688	6253
902	2691	6250
903	2694	6247
904	2697	6244
905	2700	6241
906	2703	6237
907	2706	6234
908	2708	6231
909	2711	6227
910	2714	6224
911	2717	6221
912	2720	6218
913	2723	6214
914	2726	6211
915	2728	6208
916	2731	6205
917	2734	6202
918	2737	6199
919	2740	6195
920	2743	6192
921	2746	6189
922	2749	6186
923	2751	6183
924	2755	6180
925	2758	6177
926	2761	6174
927	2763	6171
928	2766	6168
929	2769	6165
930	2772	6162
931	2775	6159
932	2778	6155
933	2781	6152
934	2783	6148
935	2786	6145
936	2789	6141
937	2792	6137
938	2794	6134
939	2797	6130
940	2800	6127
941	2803	6124
942	2805	6120
943	2808	6116
944	2811	6113
945	2814	6110
946	2817	6107
947	2819	6103
948	2822	6099
949	2825	6096
950	2828	6093
951	2830	6089
952	2833	6086
953	2836	6083
954	2839	6079
955	2841	6076
956	2844	6072
957	2847	6070
958	2850	6066
959	2853	6063
960	2856	6059
961	2859	6056
962	2891	6115
963	2894	6112
964	2897	6109
965	2900	6106
966	2902	6103
967	2905	6100
968	2908	6096
969	2911	6093
970	2914	6089
971	2917	6086
972	2920	6084
973	2923	6081
974	2926	6078
975	2929	6074
976	2932	6071
977	2935	6068
978	2938	6065
979	2941	6062
980	2944	6059
981	2947	6056
982	2949	6052
983	2952	6049
984	2955	6046
985	2958	6043
986	2961	6039
987	2964	6036
988	2967	6033
989	2970	6030
990	2973	6027
991	2975	6023
992	2978	6020
993	2981	6017
994	2984	6014
995	2987	6010
996	2990	6007
997	2993	6004
998	2996	6001
999	2999	5998
1000	3002	5995
1001	3005	5992
1002	3008	5989
1003	3011	5986
1004	3014	5983
1005	3016	5979
1006	3019	5976
1007	3022	5973
1008	3025	5970
1009	3028	5967
1010	3031	5964
1011	3034	5961
1012	3037	5958
1013	3040	5955
1014	3043	5952
1015	3046	5948
1016	3049	5945
1017	3052	5942
1018	3055	5939
1019	3057	5935
1020	3060	5932
1021	3063	5929
1022	3066	5926
1023	3069	5923
1024	3072	5920
1025	3075	5917
1026	3078	5914
1027	3081	5912
1028	3084	5908
1029	3087	5905
1030	3090	5902
1031	3093	5899
1032	3096	5896
1033	3099	5893
1034	3102	5889
1035	3105	5886
1036	3108	5883
1037	3111	5880
1038	3114	5877
1039	3116	5874
1040	3119	5871
1041	3122	5868
1042	3126	5865
1043	3129	5862
1044	3131	5859
1045	3135	5856
1046	3138	5853
1047	3141	5850
1048	3144	5847
1049	3146	5844
1050	3149	5840
1051	3152	5837
1052	3155	5835
1053	3158	5831
1054	3161	5828
1055	3164	5825
1056	3167	5822
1057	3170	5819
1058	3173	5816
1059	3176	5813
1060	3179	5810
1061	3182	5806
1062	3185	5804
1063	3188	5800
1064	3191	5797
1065	3193	5794
1066	3196	5791
1067	3199	5788
1068	3202	5785
1069	3205	5782
1070	3208	5779
1071	3211	5775
1072	3214	5772
1073	3217	5769
1074	3220	5766
1075	3223	5763
1076	3225	5760
1077	3228	5756
1078	3231	5753
1079	3234	5750
1080	3237	5747
1081	3240	5743
1082	3243	5741
1083	3246	5738
1084	3249	5734
1085	3251	5731
1086	3254	5728
1087	3257	5725
1088	3260	5721
1089	3263	5718
1090	3266	5715
1091	3269	5711
1092	3271	5708
1093	3274	5705
1094	3277	5702
1095	3280	5698
1096	3283	5695
1097	3286	5692
1098	3289	5689
1099	3291	5685
1100	3294	5682
1101	3297	5679
1102	3300	5675
1103	3303	5672
1104	3305	5669
1105	3308	5666
1106	3311	5662
1107	3314	5659
1108	3317	5656
1109	3319	5652
1110	3322	5649
1111	3325	5645
1112	3328	5642
1113	3330	5639
1114	3333	5636
1115	3336	5633
1116	3339	5630
1117	3342	5627
1118	3345	5624
1119	3348	5621
1120	3351	5618
1121	3354	5614
1122	3357	5611
1123	3360	5609
1124	3363	5606
1125	3366	5603
1126	3369	5600
1127	3373	5597
1128	3375	5594
1129	3378	5591
1130	3391	5604
1131	3394	5602
1132	3398	5599
1133	3401	5596
1134	3404	5593
1135	3407	5590
1136	3410	5587
1137	3412	5584
1138	3416	5581
1139	3419	5578
1140	3422	5576
1141	3425	5573
1142	3428	5570
1143	3431	5567
1144	3435	5565
1145	3438	5562
1146	3441	5559
1147	3444	5556
1148	3447	5553
1149	3450	5551
1150	3453	5548
1151	3456	5545
1152	3459	5542
1153	3462	5539
1154	3465	5536
1155	3468	5533
1156	3472	5531
1157	3475	5527
1158	3477	5524
1159	3481	5521
1160	3484	5519
1161	3487	5516
1162	3490	5513
1163	3493	5510
1164	3496	5507
1165	3500	5505
1166	3503	5502
1167	3506	5499
1168	3509	5496
1169	3512	5494
1170	3515	5491
1171	3518	5488
1172	3521	5485
1173	3524	5482
1174	3527	5479
1175	3530	5476
1176	3533	5473
1177	3536	5470
1178	3539	5467
1179	3543	5464
1180	3546	5461
1181	3549	5458
1182	3552	5455
1183	3555	5453
1184	3558	5450
1185	3561	5447
1186	3564	5444
1187	3567	5441
1188	3570	5438
1189	3573	5435
1190	3577	5433
1191	3580	5430
1192	3583	5427
1193	3586	5425
1194	3589	5422
1195	3592	5419
1196	3595	5416
1197	3599	5413
1198	3602	5411
1199	3605	5408
1200	3609	5406
1201	3612	5403
1202	3615	5400
1203	3618	5397
1204	3621	5394
1205	3623	5390
1206	3626	5387
1207	3629	5384
1208	3632	5381
1209	3635	5378
1210	3638	5374
1211	3641	5371
1212	3643	5368
1213	3647	5365
1214	3650	5362
1215	3653	5359
1216	3656	5356
1217	3659	5353
1218	3661	5350
1219	3664	5346
1220	3667	5343
1221	3670	5340
1222	3673	5337
1223	3676	5334
1224	3679	5331
1225	3682	5328
1226	3685	5324
1227	3688	5321
1228	3690	5318
1229	3693	5315
1230	3696	5312
1231	3699	5309
1232	3702	5305
1233	3705	5302
1234	3708	5299
1235	3711	5296
1236	3713	5293
1237	3716	5289
1238	3719	5286
1239	3722	5283
1240	3725	5280
1241	3728	5277
1242	3731	5274
1243	3734	5271
1244	3737	5267
1245	3740	5264
1246	3742	5261
1247	3745	5258
1248	3748	5255
1249	3751	5252
1250	3754	5248
1251	3757	5245
1252	3760	5242
1253	3763	5239
1254	3766	5236
1255	3769	5233
1256	3772	5230
1257	3774	5227
1258	3777	5224
1259	3780	5221
1260	3783	5217
1261	3786	5214
1262	3789	5211
1263	3792	5208
1264	3795	5205
1265	3798	5202
1266	3801	5199
1267	3804	5196
1268	3807	5193
1269	3810	5190
1270	3813	5187
1271	3816	5184
1272	3819	5181
1273	3822	5178
1274	3825	5175
1275	3828	5172
1276	3831	5169
1277	3834	5166
1278	3837	5163
1279	3840	5160
1280	3842	5156
1281	3845	5153
1282	3848	5150
1283	3851	5147
1284	3854	5144
1285	3857	5140
1286	3859	5137
1287	3862	5134
1288	3865	5131
1289	3868	5128
1290	3871	5125
1291	3874	5122
1292	3877	5119
1293	3880	5116
1294	3883	5113
1295	3886	5110
1296	3889	5106
1297	3892	5103
1298	3895	5100
1299	3898	5097
1300	3900	5094
1301	3903	5091
1302	3906	5088
1303	3909	5085
1304	3912	5082
1305	3915	5078
1306	3918	5075
1307	3921	5072
1308	3924	5069
1309	3927	5066
1310	3930	5063
1311	3933	5060
1312	3936	5057
1313	3939	5054
1314	3942	5051
1315	3944	5048
1316	3947	5044
1317	3950	5041
1318	3953	5038
